,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
u_g_lsst,0.012103419821320686,-0.2679784415320752,-0.11676225652850307,0.11987916823395053,0.5154156827929356,0.0014313469202766032,0.3875646914974503,-0.2669263092748595,0.30655913331274554,0.24216952764032793,-0.13510060400772675
g_r_lsst,-0.11776497411414215,-0.2068216766028262,-0.058406544998257086,0.46252381371005646,0.07462678870842551,0.023098516078604765,0.15697541792002526,0.1615998242160551,-0.19187614518763577,-0.4350840916693069,0.4976278557572868
r_i_lsst,-0.14232606836484332,0.0656676971847955,0.03502240304731506,0.355364838944158,-0.2685497893931273,0.1493478073249094,0.07448861710025258,0.18085833265140966,-0.18423736058408482,0.6697691587409978,0.1405293634587601
i_z_lsst,-0.06379039687670474,0.11956423060614886,0.015910385239205477,0.16285135045127663,-0.26078349774953485,-0.6031093033965742,-0.027287543372033058,0.008587880900905434,0.5637144696374379,-0.156062936406843,0.04135046923064774
z_y_lsst,-0.00608385622052772,0.10142797054604558,0.013683983279262598,-0.02853217326369846,-0.1186607053205126,0.7369500347115,-0.01608153112317297,0.020816765510218944,0.4623265328738848,-0.22282566986846847,0.028484956514548757
g_r_des,-0.05479226696737961,-0.2604628614480954,-0.3530976468249126,0.3796754782396138,-0.036428498514856196,0.051225343050755955,-0.4563524364897895,0.0080194831950024,-0.018258006312746385,-0.06421276954036845,-0.4113480349776399
r_i_des,-0.025107951688996946,0.224656933370984,0.560958470240221,0.22552439992501686,0.08231741931602682,0.0057538606117057784,0.2604982235153814,0.16132636039143056,-0.07471564094550694,-0.14871858181208975,-0.3560819598162846
i_z_des,0.031430457151131776,-0.07635851210587656,-0.4537596753810492,-0.2134178977389081,-0.3518028292989405,-0.012613816192017478,0.4818749900316063,0.15924059482590117,-0.057195593772631795,-0.06598162903617219,-0.10438615159879606
J_Y_euc,0.0038405987320934976,-0.40236024331588505,0.2599880903940811,-0.0018509721902521365,-0.30592426238772513,0.030154527438018944,0.07296217041804733,-0.4974908255616813,-0.17915386181360418,-0.171499870623434,0.042162500465986
Y_H_euc,-0.0010286907516323218,0.4899520780571538,-0.31011086244254654,0.08751775115051173,0.30311037000577656,-0.009392534575024725,0.011665961443934529,-0.040420245929362546,-0.18696019898094132,-0.1893400399889716,0.08057462854200632
H_VIS_euc,0.04707777484048553,-0.4250207058633287,0.14376509263490486,-0.2184422834165725,0.17034625738330636,-0.0383155832354787,-0.09045538217146748,0.5865290370803241,0.0847093476045844,-0.009931908156367904,0.05530370307037723
