Column,Type,NaNs,Placeholder count,Min,Max,Mean,Std,Unique values
ZMED_euclsst,float64,0,687,0.01,3.983,1.7482195212935245,0.7839702586749407,37648
ZMED_UP_euclsst,float64,0,687,0.0168,3.9953,2.048861717936721,0.8659658649862447,38107
rlsst_TOT_ERR,float64,0,517,2.0111296342142714e-05,4.939872111111111,0.08589567104546299,0.10440583005059134,787921
rlsst_TOT,float64,0,517,14.18771,30.0,25.448848512290876,1.1641995232490336,348474
SFRMED_DOWN_lsst,float64,0,483,-15.8786,3.132,0.21128186640147756,0.8984983871010898,235655
ilsst_TOT,float64,0,444,13.80109,29.999,25.24316891053478,1.2960353634804165,370113
ilsst_TOT_ERR,float64,0,444,2.0111111111111114e-05,7.992844495323811,0.13632721804198933,0.2022331734888621,788320
NUM,int64,0,387,1.0,5500.0,773.3226446733513,547.5722590459952,4713
SFRMED_lsst,float64,0,343,-15.83685,3.28251,0.49075377217808114,0.7316968335670956,228132
SFRMED_UP_lsst,float64,0,333,-15.52001,3.54175,0.7778106897788528,0.6595542815025918,218690
MMED_DOWN_lsst,float64,0,323,6.11829,12.31594,9.066832361922408,0.6957712612985815,260949
MMED_UP_lsst,float64,0,323,6.19603,12.384,9.73980278477018,0.5795947862374443,223563
MMED_lsst,float64,0,323,6.15716,12.34997,9.40058655384896,0.6261135718535701,240655
SFRMED_DOWN_euc,float64,0,262,-15.8923,2.632,0.20652893628372873,0.8621975886628915,220543
ZMED_DOWN_lsst,float64,0,228,0.0132,3.9397,1.2739980640607456,0.7408875715849872,34849
ZMED_UP_lsst,float64,0,220,0.0168,3.9915,2.1141911717148165,0.8427449499303868,37724
ZMED_lsst,float64,0,220,0.01,3.9719,1.7788587172774208,0.7625522888437147,36297
SFRMED_euc,float64,0,110,-15.2924,2.85338,0.607475249491919,0.606791143986571,214365
SFRMED_UP_euc,float64,0,105,-15.21922,3.26662,0.9995494882476884,0.5458187461877076,212528
MMED_DOWN_euc,float64,0,102,6.66222,11.716,9.100421967521147,0.586266653213283,217753
MMED_UP_euc,float64,0,102,7.02937,11.784,9.700940720390955,0.477011797444931,200727
MMED_euc,float64,0,102,6.92211,11.75,9.414774734786858,0.5158687300628447,207762
ZMED_DOWNq_euc,float64,0,85,0.0114,3.8721,0.6590241911186174,0.44443675150302053,27308
ZMED_UP_euc,float64,0,68,0.0168,3.9876,2.5563198642824023,0.9144924541213161,37545
ZMED_euc,float64,0,68,0.01,3.9536,1.5900564118709823,0.617173946341039,35705
ID,int64,0,2,1.0,789354.0,394678.4860708531,227866.46302566046,789354
RA_true,float64,0,0,-0.4999966,0.4999969,0.0012709253224946616,0.2885056742568088,763715
EBV_BEST_lsst,float64,0,0,0.0,0.7,0.10577193502534984,0.13976667470536117,8
Yeuc_TOTnoerr,float64,0,0,13.2383,29.38654,24.764710722362842,1.4037383449783472,390049
ZBEST_euclsst,float64,0,0,0.0,13.135,1.7138864725421037,0.994503605868539,103282
ZBEST_DOWN_lsst,float64,0,0,0.0,3.9781,1.131261702987506,0.9076530813682111,35093
VISeuc_TOTnoerr,float64,0,0,13.95594,31.48127,25.30275874431498,1.2230919376932698,357266
ZBEST_UP_lsst,float64,0,0,0.01,4.0,1.9091965981042727,0.994809904206059,39013
